Model,MAE,MSE,RMSE,R2 Score,CV R2 Mean,CV R2 Std
Linear Regression,4887.621724549819,41618490.924045056,6451.239487419844,0.9789217087245956,0.9787373490774491,0.0003299272024774614
Ridge Regression,4887.701913779772,41622372.464551866,6451.540317207347,0.9789197428618365,0.9787371401670425,0.00032882841622365415
Lasso Regression,4887.623111538047,41624651.98872026,6451.716979899247,0.9789185883635996,0.9787368762396909,0.00032865182966877466
Decision Tree,4905.781965166667,41523064.33197274,6443.839254045118,0.9789700389128956,0.9763846188083878,0.0006629796637035341
Random Forest,3676.3501919699474,22686725.34827253,4763.058402777834,0.9885099773115581,0.9877810498288004,0.0001978390298885204
XGBoost Regressor,4296.052797703125,36725459.12397714,6060.153391126098,0.981399855990672,0.9811825405437062,0.00025069448260587706
Tuned Random Forest,3667.6989088215546,22554905.171612464,4749.200477092167,0.9885767395611719,0.9878265145725169,0.00018568515868380052
